DATETIME,ITEM, STATE
Wed Apr 21 17:51:44 2021,Sensor de Presença Sala,1
Wed Apr 21 17:51:47 2021,Sensor janela cozinha,1
Wed Apr 21 17:51:49 2021,Sensor porta sala,1
Wed Apr 21 17:51:51 2021,Sensor janela quarto 2,1
